question,answer
"I have 8 years of experience in IT in .NET technology, but now i want to in ML field. So my questions/doubts are below:-
1) Can i change my technology in this much experience and land in a good company as ML engineer.
2) This course is sufficient for me or some other course i need to do along with this.
3) How much it is difficult for me to switch to new technology.",Kindly mail us your contact number to team@appliedaicourse.com so that we can call you and answer all your queries over the phone. Also please mention what would be the best time to contact you.
"Is there content through which we can learn about video analysis, image processing and its applications?","No right now we do not deliver these topics.We teach end to end ML and deep learning along with python and other tools like pandas , numpy,etc"
"will there be any content further?
Please add if possible they are my requirements for projects.",When the new content is added we will notfiy.
Was any new content added i would like to know this to decide weather i should pay this course or not since machine learning is constantly evolving i would like a course that is constantly ipdaying with new content to keep the course uptodate it doesnt matter if the courses is lenghthy or not because at least we will be more prepared and have more things to learn the more the better so im just wandering is the course constantly updating its content,yes course is also constantly evolving as machine learning. every week course instructor will go live for 1-2hrs where he will pick a topic and go in great detail discussing about the topic
"I have logged in with gmail, but i want a seperate username and password to login. What should i do?","you can click on forgot password, then you will get a password reset link through email."
"Sir, I would like to do a PhD in Data Science. How can the Applied ML course help me? Thanks in advance.","This course provides you with a good overview of most of the popular ML and DeepLearning algorithms. But, the mathematical rigor we go into is not at a PhD Level as we focus more on applied and practical aspects more than theoretical proofs. But, we have many PhD students who take this course to understand how various techniques are actually sued in practice."
"Just a Suggestion :

Can you please put all the recorded audio for the query of student by module basis instead of finding it in the comments. This will definitely help student a lot and decrease some amount of question asked to you.",Thanks for the suggestion!
"Hi Team, 
I always had this query, as we all know course validity is 1year and your team adds new content to the playlist every now and then as per your YouTube live sessions,
So how can 1year old student of this course can access the new content, if not then wouldn't it be a loss for  him in terms of knowledge gain.
Please help me with this query and also let me know business timings of your team to have a phone call conversation before I enroll this course. CHEERS!!",The validity of course is 365 days. You can call use between 10 am-6 pm.
I also would like to know. I keep coming back to this website and thinking about enrolling BUT no access to material after 365 days throws me off. I really like the course - to me it would make sense if I do not have access to assignments and future updates. I should have continued access to video content that I use as revision or reference. All other major program providers are giving the live time access ...,Please drop a mail at team@appliedaicourse.com
"I don't know the team's idea regarding 365 days validity, but in my opinion, if the course is life long validity students will not feel the motivation at all to complete it. It just makes us lazy day by day. We may keep on postponing it for 2+ years. That is not at all helpful to someone who wants to grow as  ML engineer or Data scientist.  If one has that utmost interest to complete the course within some stipulated time (even if it is lifetime validity) then it is sure that he can definitely complete it in one year. What it requires is sheer concentration and interest to learn. If it is a limited time period, although we may feel hurry at sometimes we can learn at our own pace and extend the validity after a year and get a highly qualified job. Purpose Served!","Yes, you are correct. This is the reason for 1-year validity."
"Access to course content is different to an actual program. You have dated assignments and deadlines that you have to complete to pass in 365 days. Having access to content for future review is something AppliedAI should consider. Other ML program providers are already doing it. That way you will also gain more students. Sure make deadlines for assignments/case studies/any deliverables, but make content video lectures accessible for lifetime.","Previously we used to have deadlines for the assignments, but this course is not taken only by the students. Even the working professionals are also enrolling for this course and they were not able to meet their deadlines as they have to balance their work, home and this course. So we have removed the topicwise deadlines, but we have kept the course deadline of 365 days like that only. Also 365 days of time is sufficient to complete all the assignments of this course provided if you consistently putting your efforts."
"Hello Sir, Do i need to watch the live sessions in each module after the completion of Course videos of each module, or can i first watch all the course videos, complete the assignments and then watch the live sessions?

Watching Live sessions are necessary for assignment completion, or should i watch them after i have completed the assignments?",We recommend you to watch the live sessions associated with each topic immediately after finishing the chapter asociated with that topic. This way you could learn the topic in much more depth as most of the live sessions are the deep dives of the topics.
"Dear team
A small suggestion to implement if possible.
Could you please highlight the item of Table of Content in the right if we are watching the particular item  video ? For example, module 3, chapter 1, we have 20.4 as Bag of Words. If we are watching the same, Bag of Words item on the right side in Table of Content should be highlighted.",Thanks for your suggestion!
"Could you please add comment section under each assignment in classroom, so we can get clarifications and clear our doubts about the corresponding assignment. The slack doesn't help as it is not inituitive to use also we cant even see past comments beyond few days. It being not organized as per assignment also makes it even difficult to use.
The video in assignment is not enough as lot of time we are stuck trying to solve a problem because of a assumption we eneded up making, just having a comment section helps in removing and clarifying those doubts.
A comment section below each assignment would help a lot.","There is a comment section for each assignment but you can access it once you try to submit the assignment
Please refer to this link. The comment section is placed on the left side of the image."
"It would be preferable to have a comment section where the details of assignment are given. As there is lot of small doubts about what the assignemnt is asking or when there is a bit of ambiguity eg in  formulas,  if everything is in summation or part of it. or if while taking samples is it with or without replacement. Such little confusion take up a lot of time. So if others have such issues those can be resolved in comment and can be answered.  Because the team still takes a day to answer. Common doubts can quickly get resolved as once the team answers the confusion can be removed once for all",Thanks for the suggestion!
"1.Do we have to complete the live session videos in chapter 1 compulsorily to get course completion?
2. Will it be added for other modules as well apart from python?","Just to clarify,course completion is not about the video completion but about the assignment completion"
Do you recommend 1st Year Engineering students to join the course or wait till second year till all the fundamentals of CS is clear?,First year student can join because all the programming fundamentals are also covered in the course. Person with no programming background can join.
"Hello Team,

Thanks for the new look of the website with additional features.

Just wanted to provide some suggestion on the navigation of the particular topic w.r.t  breadcrumbs on the top, in each of the topic page.

For example,  Log Normal Distribution in Probability and Statistics,  can be displayed like below:
Home -> Courses -> Applied Machine Learning Online Course-> Data Science : Explanatory Data Analysis and Data Visualization -> Probability and Statistics -> 12.15 Log Normal Distribution

Now it's displaying like below  :
Home -> Courses -> Applied Machine Learning Online Course-> Log Normal Distribution

If the same is implemented, we can navigate to any of the module, chapter or topic, etc.",Thank you for the feedback! We'll include it in our next iteration of updates.
"Sir, Which white board tool youare using for conducting the session?",We use Ink2Go.
Do we need to do log transformation on both dependent variable and independents variables in linear and logistic regression,"Usually, it is done on independent variables."
sir..as srikanth sir mentioned in live session there will be interview questions after each chapter.. but i cant able to find that.. can you please guide me where ill found that or give any link of them..,"In each module, you can find a few chapters named 'Interview Questions on topic'. The questions start from Probability and statistics chapter."
"hi sir, i wanted to know what type of projects we can put in resumes after completing the course , as we cant put netflix recommendation system, amazon food reviews as our projects , so please suggest what type of projects we can put in resume to get calls.","You can put the case studies covered in the course as projects in your resume. But, we would suggest you put your own self case studies other than those covered in the course. You will get more ideas as you go through videos."
"Hi, for microsoft malware case study , can I do this on google colab instead of google cloud or azure ?Because I cant do it on local machine.",Yes you can run that on google colab.
Have this course contain anything about reinforcement learning?,"As of now, Reinforcement Learning is not yet added, but in future we may add it to the course."
"Please add it in the course, because without reinforcement learning AI is incomplete I think.",Thanks for the suggestion!
Have this course contain any videos about Q learning?,"No, we have not covered q-learning in this course."
"Sir, Can I get a job in tier-1 companies just with the completion of this course(with 80% in assessments) or I will have to do something else(additional).","Yes, you have to finish the case studies in this course and we have mentors to guide you in preparation for the companies you target for and also we help you with profile building that matches the company's expectations."
"Can in this course have any content for in depth use of various deep learning libraries like TensorFlow and PyTorch, Keras, etc.",We have used tensorflow and keras in the course.
"Can I get any Certificate,  after finish this course ?","Yes, you will get a course completion certificate if you finish all the assignments and get them evaluated."
What the system requirement need for this course.,"It is good to have a laptop with around 8Gb of RAM minimum,with i7 processor, 4G graphics card from NVIDIA(if you want to run deep learning programs which is optional, generally 1050Ti and above is preferable). You can also look into Google Colab for running the code."
If i use Google Colab then can I use properly all of things in this course or it give me a limitation.,You can use Google Colab. There is no limitation.
"Hello, what are the prerequisites to join this course? Do we need to know any programming languages or have an understanding of AI?",There are no prerequisites for this course. A programming language is taught in the course.
"Hi team,
I want to learn datastructure and algorithms.And,I know only Python,which I learned from here.So,please guide me.","You can refer GeeksForGeeks to learn Data Structures and Algorithms.
You also can refer the book Introduction to Algorithms here."
"Please increase the logged in session time. After watching a 30 min video it again ask for login. It is really frustrating to keep login every time. Once the login is done, it redirects to the main website page, then again we have to traverse to machine learning course page, then again to our module and then click to next video. Please understand this minute but irritating problem and solve it. Thanks",Thank you for the feedback. We'll do the needful.
What can the ApplieAI team say about the average package from the Job gaurantee programme(for a fresher)??,"The average package for a candidate depends on different factors like the candidate's educational background, skillset the candidate possess, type of the company the candidate is trying for, type of projects/portfolio the candidate has worked on, etc. We suggest you to kindly call us on 91-8106-920-029 for further queries regarding the job guarantee program."
"Hi Team,

Is there a place where we can view all the questions we have asked on this platform, along with the responses received? That way its much easier to reference than checking/finding for the right email after some time.

Thanks,

Akeel",Hi. We do not have that feature yet.
"Hi Team,

Suppose I am on a specific video but I visit the webpage after a few hours. The website says ""content restricted. Please login"" which is fine. However, after i login, I am taken bacvk to the homepage where I have to again go to a chapter and select that video. Is it possible to automatically relog me back in to the current page i am on. That would be great! Thanks :)","We will check once if we have any bug, we will try to remove that. 
But, f you are not logged in any other computer then you will go the same page where the session got inactivated because of Time. 
If the session got inactivated because of the other login from another IP, then after relogin, it will go to the main page."
"Hi team,

Thanks for the response. It appears that if I click on a video after my login has expired, it says 'content restricted .. please login'. After I login i am redirected to the course home page. Note that I am using the same IP.","Thanks for your confirmation. We will look into this issue with our SDE team. if we have any bug, we will rectify it."
"There is no Real-World Case study on solving Regression problem. If there is one case study on that too, then it would be very helpful.",Please look into Taxi demand Prediction case study.
"Hi Team ,
Thanks a lot for the great course .One suggestion I would like to add here .Most of the candidates may ask questions that are not relevant  or that question is already posted in comment sections so its fair from your side not to approve those comments . But we all know each and every doubt is important so even if you don't approve , please send one mail elaborating doubt and the reason for not approving those comment . It would help a lot .",Thanks for your suggestion and We are doing the same thing now.
Can you please suggest some reference textbooks that can be used along this course.,https://github.com/yanshengjia/ml-road/blob/master/resources/Hands%20On%20Machine%20Learning%20with%20Scikit%20Learn%20and%20TensorFlow.pdf check out this
"There is a lot of inconsistency in video players of each lecture. Sometimes its a youtube player which when paused shows recommendations, which most of the times blocks the entire screen when watching on phone. Sometime its a vimeo video player which sometimes has but sometimes does not have a full screen option. Each page does have a full screen option which covers the page, not much issue on a browser but a big issue in phone as browser address bar take a lot of space. Other times the video player has full screen option which properly goes full screen. The problem is none of this is consistent, constantly the format switches from lecture to lecture. Which bearable on a laptop but extremely problamatic on a phone. Could all the videos use one consistent video player. Which does not show recommended videos, gives a proper full screen option, and a video playback speed modifier (almost available on all videos when watching on laptop but missing in half the videos when watching from phone). CONSISTENTLY without any constant changing formats, Its a big issue when trying to view on phones. Please do the needfull",Thank you for the feedback. We'll look into it.
I have reached the end of Module-1. Should I do SQL now or after deep learning?,We suggest you to attempt SQL assignment after finishing the Deep Learning assignments as we advise you not to waste much time on SQL right now.
"In module 3, often there is reference to SQL database while importing the data. So, would u suggest doing SQL at the end of module -1 or after deep learning ?",You can work on SQL assignment after completing Deep Learning Assignments.
"One suggestion:-
If possible please try to add content around the model interpretation( Like lime, shapley , pdp etc)
and an introuction to git and github will also be a value add",Thank you for the suggestion. We'll look into it.
"I have mechanical engineering degree with 3 years IT experience of  REST API developer.
1) What is the path to go into product base company except ML course?
 2) Will they consider my experience?",Please call us at +91 8106-920-029 or +91 6301-939-583 so that we can better understand your background and discuss with you in person
"One concern:I am good at math,logics and having experience of 2.8 years in programming .all the concepts till now I understood thoroughly but deep down I am scared that I may not complete course. I need some information like what is the minimum days that a student completed the course and landed in an ML job because I  am from ECE background  deep inside me I had a feeling like what I have studied is wasted.here I am able to see vector,matrix,pdf,cdf ,mean all the concepts which I have studied in my  btech and 12th.I need some guidence and motivation",Kindly mail us with this query and we will help you .You can call us at the provided phone number.
"If you could provide a quick notes/bookmark option under each video dedicated to the user, it  really helps during our revision, to quickly look back to important sections and videos. Also a search mechanism, when searched for a key work ex: Covariance, related videos popuping down, would be a really helpful feature",Okay we will consider this suggestion.Kindly post the suggestion in our slack channel from now onwards.
One suggestion - Please add Applied AI Course as a school as well on linkedin so that we can show what we have learned in detail.,You will actually get a certificate from AppliedAI once if you finish all the assignments. You can add the softcopy of this certificate on your Linkedin profile and make it visible to the recruiters.
"Loved the way, this new site is responding and the overall look and feel, but a small suggestion only if its possible. Is there a way you can showcase the total number of hours per module and overall hours. I understand that you mentioned that to be 150+ hours but if we have the number of hours per module, we can plan on completing the course module wise. Just a suggestion not a mandatory ask. 
Thank you.","Sure, we will be adding this feature soon."
New website is awesome. 1 suggestion: please add progress bar under module  to track which sub-topic is not complete or you can add green tick if a sub-topic is complete. Otherwise  its cumbersome to track.,"The percentage of completion of each module is already present in the website. Within that if you have finished any sub-topic and have clicked on ""COMPLETE"" option, then you'll be able to see a green color tick mark"
Will registering for the course give me access to videos for unlimited amount of time?,The access to the course will be given for a period of 1 year. You have to finish the course within an year.
"After finishing course, what if i want to browse some of the videos later 2 or 3 years ? Will I have access ?","At this point of time, videos are accessible for 365 days only."
Loved new UI of the applied ai.  It's much stable dan previous one. ?,Thank you for the feedback.
Recently I was using old version of website. The some of the videos i completed are not showing in completed status in new website.,We are working towards it. Within a short time it gets resolved.
"Hi team,
is this problem resolved bcos i am still facing this issue.",It has been resolved long back. Please make sure you are logged in and check for the course and video status.
"The individual progress is being displayed but not the overall process like in old site, that also can be added.","Yes, it will be added soon"
"Hi
Can you please clarity a doubt .
Will Google AutoML eliminate the need for ML specialists in future ?
Please share your views regarding this.

Thanks,
Pankaj","Audio replies: 
https://soundcloud.com/applied-ai-course/automl-vs-ml-engineer
https://soundcloud.com/applied-ai-course/automated-ml"
The content in each of the videos are intuitive also many tough topics are elucidated clearly. I really appreciate if you could also include more Deep Learning content along with Reinforcement Learning content which is totally absent in the course.,We intentionally left out Reinforcement learning not to overwhelm the students. We have covered most of the key concepts in deep learning and would surely add more in the near future. Thank you for your feedback.
"sir,
   I had 10 years of teaching experience in academics. I teach courses like Probability and  stochastic process, Image Processing. I am presently pursuing PhD on ""Speech Recognition"". I am specifically oriented towards speech recognition and Deep Speech. I glanced through  course and contents in deep learning as well. So, will this course give enough prerequisites to understand and implement Deep Speech. Or in other way, can i choose project from deep speech which really helps in broaden my skills for my research?
PS: I am also looking for job change, after successful completion of assignments and project (exclusively on Speech), can i expect assistance to specifically look at companies working on speech?","Hi Veerender, this course covers all of the basics you need to build deep-learning based speech systems. We will also closely work with you on speech+DL based projects. But, we CANNOT guarantee you a job in the speech domain exclusively as there are limited openings in speech processing in India. We will certainly assist you but cannot guarantee you. If you are open to other areas of ML, our Job Guarantee program is anyway applicable to all of our students."
"Hi, 
I have 10 + years of exp in IT Industry. I worked for 5 years in web development and past 5+ years working as SQL server senior developer. 
I have the background of Stats in my degree.  After learning your course can i get a job assistance in getting the opportunity from you. 

Thanks",Please call us at +91 8106-920-029 or +91 6301-939-583 so that we understand your current role and better answer your question more accurately.
"I have more than 10yrs of work experience primarily in IT application development and maintenance.
Upon completion of this course, will I get assistance from you for getting into a senior data scientist role with a significant upgrade in my pay package.
I'm open to discuss specifics over a call.",Please call us (+91 8106-920-029  or +91 6301-939-583) so that we understand your current role and compensation better and be able to answer your question more accurately.
"1. Do you also cover the Markov models?
2. Also, do you teach Image processing as part of the course? as it will be required in few of the case studies that involve data as images
3. The case studies that are mention in the end like human activity recognition, do you only give a brief overview, or they are taught like rest of the others in detail? How do you go about teaching them?
4. We have to choose which case studies to pursue, or we can try all of them out? How exactly do you go ahead about them?",Audio reply: https://soundcloud.com/applied-ai-course/mehek-kawatra-comment/s-qVvLj
"Hi sir,

Its better if the course includes a separate section for sequence models, where the section involves techniques like hmm, Maximum entropy markov models, conditional random fields. These are some of the good algorithms for NLP sequence labeling tasks.",Audio reply: https://soundcloud.com/applied-ai-course/hmm-and-crf
The topics that are covered in AAIC is so extensive that you would anyway feel overwhelmed but if you still need to cover HMMs please do check out Siraj's move 37 https://www.theschool.ai/courses/move-37-course/,"Mayukh,
We have NOT covered HMMs as most applications like NLP and Speech recognition which used HMMs a decade back currently use RNNs which we cover in lots of detail in this course including multiple case studies involving RNNs. We have tried to cover the most important techniques used in the industry today and avoid those which are not extensively used as of now. But the course gives you the necessary tools and basics to learn most concepts of ML/AI at the end of the course as no course can cover everything."
"Hello,

  I know that and I have told exactly that thing only. That AAIC is very extensive. But if for some reason anyone still needs to cover HMMs, then that link would be useful. Giving an additional resource would never harm right.


PS. I am already pursuing AAIC","Thank you Mayukh. Certainly, more resources are always better as students can get a broader perspective on various topics."
"i m a fresher .after completing the entire course,can i directly start my career as a data scientist?","Yes, you can read the success stories on our websites. There are many freshers who started their careers as data scientist."
"Dear Sir, could the sum of Minutes related with all the subtopics be displayed  and then total sum for each module? this could help in planning our study.
like sum of Video-Minutes for ...Plotting for exploratory data analysis (EDA)....and same for all other subtopics   and then  total sum of Minutes for Module 2....","Hi,
Thanks for the feedback, for now we mentioned the time for each submodule within a chapter , we will try to add total time for all the modules and chapter soon. Please mail us to team@appliedaicourse.com for further queries regarding the changes you need."
"Is it a self-paced course?
Any time restrictions?",The complete course has a validity of 1 year. There are no deadlines for any chapter or assignment completion.
What is the process to join the slack group ?,Please mail the team regarding that and they will add you.
Can we apply for Python developer job after completion of module1 or anything extra I need to learn?,"Yes you can but you have to cover some more advanced topics like multi-threading , oops concept etc in python along with the learning from the course"
"Sir, please do add the option of un-complete also.","If you don't click the complete button, it is anyway incomplete."
Please give the option to move to the next video in full screen without coming back to normal and move to the next video.,Please close the currecnt video and select the next one.We will implement the same in short duration.
"You can also implement a autoplay option to the next video, right from the full screen mode of the current video","Thank you for the suggestion, we will certainly look into that"
"Hello, My system configuration is 
Processor - AMD A8 with R5 graphics,
RAM - 4GB
If i just increase ram to 8GB would configuration be fine to go ahead? 
Thanks",yes it will be enough. And also we can always use Google Colab which you will learn in future videos
"Sir , I am from non coding background though i understand the concept of python, i am also trained in tableau . but the real job scenario is demanding 1-3 yrs experience in relevant field..... is it sure after this training job is guareented . do u provide class room training......",Please call us at +91 8106-920-029  or  +91 6301-939-583 so that we can better understand your background and discuss with you in person.
"Hello,
I have spent close to 18 years in IT industry performing various roles as a QA, Dev, Support and lately at Management levels. My core skill is in designing solutions for business and testing. I wish to make a career shift in AI ML domain. Let me know if this is right move at this stage of my career and if there are enough opportunities for people of my age and experience.","Tushar, It is best to discuss this over the phone so that we can better understand your background and give you critical and comprehensive feedback. Please call us on +91 8106-920-029  or  +91 6301-939-583."
"Hi,
1) I am coming from Mainframe, and from last three year I am in Big Data Support project, having working knowledge of Hive, Hadoop, sqoop, etc; and understanding of spark-Scala, python, core JAVA ( from company training and self learning). Though when ever I tried for interview, since I am 12 Work exp, question come around like architecture and not like Developer. So, what interview question company will be expecting for MI, knowing that if they investing me with good money, they need more from me, as total Work of years experience.
2) for doing assignment, do we have mentor-student and student-student forum, where we can clear our doubts ?",Audio reply: https://soundcloud.com/applied-ai-course/comment-big-data/s-89yG0
"Hello Sir,
Is text mining a part of the content?","Yes, we cover some of the most-used and key concepts in text mining through the course from simple Bag-Of-Words, TF-IDF to more complex Word2Vec and LSTM networks which are state-of-the-art in text mining. We also have multiple case-studies that focus on text/NLP related problems."
Please add the more videos thats makes the to study easily,"Can you please elaborate on ""more"". are you asking about new content? if yes, can you provide us, which content are you talking about?"
Previous website theme was much better. have you also changed the content of the course? Also thank you for adding EMI option,The content has been the same. It is only the UI and some functionalities that have been changed.
In How many months can we completel this full course??,You can complete it within 1 year.
"what kind of hardware required to complete the assignment 
I have i3 processor with 8 GB of RAM and i don't have GPU right now. Can I train model in Google Colab for the assignments","8 GB RAM is fine. Yes, you can use google colab."
"I have been watching some of the latest live sessions and they are really good! thank you for the hard word of putting them together, especially in these conditions. 
I would like to get some feedback on my blog here : https://medium.com/@ndharap/beyond-classification-with-transformers-and-hugging-face-d38c75f574fb

Is this the right place to post? 

Nikhil",Can you please write an email to the team@appliedaicourse.com about feedback to your blog?
"I am an Electrical Engineer in a PSU. I would like to know how the course is going to be helpful to someone with no programming experience (non-IT). Moreover ,I would also like to know whether I will be getting a certification if I would not opt for no guaranteed placement.","yes you will get a certification. you will understand underlying mathematical details of  machine learning models, building first cut machine learning models, deployment of them"
